,id,ra,dec,flux_g,flux_i,flux_r,flux_u,flux_y,flux_z,host_galaxy,is_pointsource,is_variable,mag_r,redshift,truth_type
351,40969786472,54.5147298,-46.0757913,215.77,1969.05,640.046,22.9151,4016.81,3205.81,-1,1,1,24.3845,0.0,2
352,41021140842,54.0251773,-46.0861347,23.9549,255.247,69.085,2.36226,565.798,440.853,-1,1,1,26.8015,0.0,2
353,40969787526,54.5268056,-46.0832658,15.6775,166.724,41.5763,1.73211,390.337,296.67,-1,1,1,27.3529,0.0,2
354,40969789388,54.3831567,-46.064565,11.7423,78.4193,36.4306,1.26696,132.282,111.123,-1,1,1,27.4963,0.0,2
355,40969804601,54.1629565,-46.0914531,161.283,1472.29,478.507,17.1242,3003.87,2397.25,-1,1,1,24.7003,0.0,2
356,41021140059,54.182319,-46.1129512,109.415,1897.4,380.066,13.7224,6997.5,4165.6,-1,1,1,24.9504,0.0,2
357,40749426065,54.5163402,-46.1000965,107.171,1342.55,300.557,10.2641,3258.38,2471.51,-1,1,1,25.2052,0.0,2
358,40901220970,54.4761758,-46.1147972,1256.15,9330.52,3941.35,128.852,16585.8,13753.6,-1,1,1,22.4109,0.0,2
359,40749425538,54.4991163,-46.0772242,2113.34,22527.8,6096.27,208.333,49946.4,38913.8,-1,1,1,21.9373,0.0,2
360,41021138327,54.0451009,-46.0783281,16.4158,284.395,56.9902,2.06044,1048.36,624.194,-1,1,1,27.0105,0.0,2
361,40065559432,54.4982401,-46.0894708,64.2674,386.052,196.498,7.29017,618.457,526.192,-1,1,1,25.6666,0.0,2
362,40749425729,54.5194497,-46.0876654,663.9,5319.17,1979.63,72.7929,10107.6,8226.43,-1,1,1,23.1585,0.0,2
363,40969792753,54.4011798,-46.0837341,1244.58,3137.46,2437.21,226.929,3727.92,3473.78,-1,1,1,22.9328,0.0,2
364,40969804918,54.15463,-46.0912147,53.3835,380.475,160.182,6.11821,679.353,561.956,-1,1,1,25.8885,0.0,2
365,40249368552,54.1828665,-46.0812776,7728.91,61923.2,23046.0,847.442,117667.0,95767.6,-1,1,1,20.4935,0.0,2
366,40969786744,54.5026348,-46.0746709,65.2945,465.281,195.901,7.48443,830.703,687.174,-1,1,1,25.6699,0.0,2
367,41021135489,54.1571033,-46.0869937,46.985,376.408,140.093,5.15203,715.229,582.123,-1,1,1,26.034,0.0,2
368,40969812659,54.1050477,-46.1156772,139.291,875.127,440.501,15.2246,1405.87,1199.09,-1,1,1,24.7901,0.0,2
369,41021140505,54.0478677,-46.0885648,9.51185,86.7787,28.211,1.01039,177.004,141.273,-1,1,1,27.774,0.0,2
370,40969799083,54.2535498,-46.0837469,44.0502,313.986,132.184,5.04814,560.659,463.765,-1,1,1,26.0971,0.0,2
371,40901222714,54.0334154,-46.0864846,199.852,2129.75,576.408,19.7061,4721.23,3678.56,-1,1,1,24.4982,0.0,2
372,40249369003,54.1729763,-46.1136291,70.0947,1459.2,236.655,19.9981,8746.45,4055.55,-1,1,1,25.4647,0.0,2
373,40969788358,54.4762548,-46.0774268,25.7945,145.73,79.0769,3.04147,223.889,193.071,-1,1,1,26.6549,0.0,2
374,40969789762,54.4957788,-46.0878427,24.0523,135.894,73.7381,2.83593,208.782,180.042,-1,1,1,26.7308,0.0,2
375,40969788397,54.3873662,-46.0605963,198.527,1121.47,608.571,23.4112,1722.83,1485.72,-1,1,1,24.4392,0.0,2
376,40969813207,54.0870596,-46.1146872,27.3414,174.985,81.7799,3.24498,295.213,247.877,-1,1,1,26.6184,0.0,2
377,41021142817,54.1163771,-46.1132716,34.3529,229.374,106.568,3.70719,386.882,325.012,-1,1,1,26.3309,0.0,2
378,40969792347,54.5077094,-46.1022757,11.6804,124.687,33.7214,1.15015,276.625,215.469,-1,1,1,27.5802,0.0,2
379,40969790667,54.3879629,-46.0715139,11.9195,95.5221,35.5467,1.30665,181.534,147.741,-1,1,1,27.523,0.0,2
380,40749426002,54.3737069,-46.0701952,6755.73,45117.3,20959.8,728.924,76106.2,63933.1,-1,1,1,20.5965,0.0,2
381,40969791321,54.4162163,-46.0803552,108949.0,201812.0,168062.0,40469.9,224422.0,217425.0,-1,1,1,18.3363,0.0,2
382,40249368825,54.0522273,-46.07649,3829.4,30657.4,11413.5,420.133,58234.8,47402.8,-1,1,1,21.2565,0.0,2
383,40969808408,54.1902123,-46.1135099,13.7388,91.771,42.6297,1.48214,154.819,130.051,-1,1,1,27.3257,0.0,2
384,40749428105,54.2031289,-46.1099901,147.072,2550.89,510.927,18.4424,9408.34,5600.58,-1,1,1,24.6291,0.0,2
385,41021120768,54.4518146,-46.0744513,39.6815,141.882,97.5541,5.39513,184.358,167.507,-1,1,1,26.4269,0.0,2
386,41021135868,54.0052391,-46.0588598,12.2991,98.4775,36.6602,1.34922,187.073,152.273,-1,1,1,27.4895,0.0,2
387,40969788539,54.4020365,-46.0640777,722.469,2998.18,1952.34,88.3795,4062.64,3642.41,-1,1,1,23.1736,0.0,2
388,41021120264,54.4502549,-46.0719523,68.7637,627.957,204.059,7.29874,1281.44,1022.59,-1,1,1,25.6256,0.0,2
389,40969808904,54.1811787,-46.1137869,219.248,2001.93,650.576,23.274,4084.96,3259.88,-1,1,1,24.3668,0.0,2
390,40969789006,54.494977,-46.0841749,14.5458,252.228,50.5249,1.82437,930.177,553.739,-1,1,1,27.1412,0.0,2
391,40970034863,50.2125701,-46.0869722,10.8659,191.206,38.0656,1.34656,709.964,421.549,-1,1,1,27.4487,0.0,2
392,40252941500,50.1824413,-46.0997972,27538.1,350192.0,77896.3,2606.02,855742.0,647394.0,-1,1,1,19.1712,0.0,2
393,40970044974,50.1869795,-46.1128564,47.0446,436.093,140.81,4.93409,896.148,713.245,-1,1,1,26.0284,0.0,2
394,41021338779,50.1944668,-46.1054648,8.06484,65.6296,24.2642,0.873328,125.63,101.967,-1,1,1,27.9376,0.0,2
395,40749458240,50.1957,-46.1069779,554.932,5145.07,1661.16,58.1932,10573.8,8415.38,-1,1,1,23.349,0.0,2
396,41021336712,50.2058901,-46.0994747,26.1349,177.146,81.7793,2.78616,300.956,252.152,-1,1,1,26.6184,0.0,2
397,40970040570,50.1926892,-46.1005304,107.509,655.342,331.509,12.0513,1057.34,897.247,-1,1,1,25.0988,0.0,2
398,41021339759,50.2005757,-46.1110476,20.5299,167.062,61.7661,2.22321,319.789,259.558,-1,1,1,26.9231,0.0,2
399,40901255827,50.1934983,-46.0898574,40.8327,718.599,143.054,5.05982,2668.33,1584.33,-1,1,1,26.0113,0.0,2
400,40970043076,50.1517556,-46.0983765,24.6765,228.725,73.8559,2.58829,469.997,374.077,-1,1,1,26.729,0.0,2
401,40901255870,50.2110647,-46.0949218,86.6301,1524.42,303.483,10.7357,5660.28,3360.86,-1,1,1,25.1947,0.0,2
402,40970045734,50.1544825,-46.107348,8.3087,67.5837,24.9914,0.900059,129.343,104.989,-1,1,1,27.9055,0.0,2
403,41021338915,50.1430511,-46.0932307,126.077,912.336,381.634,14.2748,1640.84,1353.64,-1,1,1,24.9459,0.0,2
404,40970042045,50.1373557,-46.0913508,26.5567,246.159,79.4844,2.78543,505.828,402.594,-1,1,1,26.6493,0.0,2
405,40970000135,50.7107393,-46.0947487,9.07516,55.0518,27.9053,1.02129,88.6131,75.2614,-1,1,1,27.7858,0.0,2
406,41021315285,50.5843812,-46.1025169,9465.88,15759.5,13805.1,3593.69,16634.1,16351.4,-1,1,1,21.0499,0.0,2
407,40970007583,50.5389171,-46.0784742,600.993,899.498,805.407,273.637,936.465,929.769,-1,1,1,24.135,0.0,2
408,40749451885,50.8428496,-46.1074995,9511.68,76822.4,28493.5,1036.23,146534.0,119092.0,-1,1,1,20.2631,0.0,2
409,40749454747,50.5726772,-46.113925,820678.0,1156080.0,1057600.0,359025.0,1191470.0,1186800.0,-1,1,1,16.3392,0.0,2
410,40970012779,50.5793958,-46.1055171,45.8561,196.493,126.53,5.39339,269.083,240.288,-1,1,1,26.1445,0.0,2
411,41021328179,50.2385308,-46.0722497,15.4538,125.616,46.4646,1.675,240.327,195.101,-1,1,1,27.2322,0.0,2
412,41021301726,50.84514,-46.1083348,38.3595,218.393,118.122,4.49504,336.78,290.023,-1,1,1,26.2192,0.0,2
413,40970013390,50.5711381,-46.1059413,47.3594,192.571,125.815,6.03748,262.984,234.754,-1,1,1,26.1507,0.0,2
414,40970002380,50.608449,-46.0775632,1411.96,3396.08,2665.35,294.699,4014.3,3753.89,-1,1,1,22.8356,0.0,2
415,40749453164,50.6032326,-46.0828664,235116.0,515867.0,418254.0,50539.3,587125.0,557847.0,-1,1,1,17.3464,0.0,2
416,40970027853,50.2395584,-46.0711342,148.612,1607.22,432.258,14.4815,3587.19,2787.76,-1,1,1,24.8106,0.0,2
417,40749456531,50.288778,-46.0901108,1384.75,10413.7,4375.78,140.623,18620.8,15407.2,-1,1,1,22.2974,0.0,2
418,40749457272,50.2424742,-46.0967796,21818.4,177429.0,65617.6,2364.0,339528.0,275611.0,-1,1,1,19.3574,0.0,2
419,40970038671,50.2527049,-46.1091544,16.7219,154.926,50.0355,1.75455,318.287,253.348,-1,1,1,27.1518,0.0,2
420,40749456485,50.2973647,-46.091225,249.455,2695.32,725.187,24.3262,6013.16,4673.85,-1,1,1,24.2489,0.0,2
421,41021332812,50.299938,-46.1064407,8.16492,75.5735,24.4176,0.857374,155.191,123.549,-1,1,1,27.9307,0.0,2
422,40252940743,50.6890549,-46.1006675,153276.0,1415010.0,457695.0,16128.7,2902200.0,2311540.0,-1,1,1,17.2486,0.0,2
423,41021331868,50.3017423,-46.1032043,9.49756,87.8754,28.3968,0.99761,180.421,143.645,-1,1,1,27.7668,0.0,2
424,41021304252,50.6125008,-46.0630604,9.56929,77.4291,28.6962,1.04098,147.818,120.097,-1,1,1,27.7554,0.0,2
425,41021328966,50.289489,-46.0880333,33.3543,212.416,106.308,3.60583,343.483,292.256,-1,1,1,26.3336,0.0,2
426,40749457126,50.2429729,-46.0935648,320.357,5636.14,1122.15,39.7072,20925.4,12425.2,-1,1,1,23.7749,0.0,2
427,40970042457,50.1818793,-46.1041154,131.596,754.727,406.949,15.3297,1167.99,1004.52,-1,1,1,24.8761,0.0,2
