ug,gr,gi,gz,petroRad_i,petroR50_i,deVAB_i,fracDev_i
1.806746,1.729824,2.491997,2.839199,3.179011,1.432029,0.8000053,0.8102342
2.510462,1.807669,2.442616,2.833925,2.232067,1.040516,0.8515138,0.8808853
1.594259,1.736143,2.381472,2.542307,2.736122,1.325107,0.7741671,1.0
1.466339,1.570433,2.337425,2.800083,2.054363,0.8511719,0.6121637,0.3906936
2.33783,1.700014,2.309633,2.645065,2.964855,1.465142,0.6675141,1.0
1.608362,1.767582,2.348387,2.76561,2.605403,1.226125,0.7909551,1.0
2.318592,1.070885,1.62698,2.025991,6.868042,3.161894,0.1999977,0.2528214
1.884968,1.695848,2.302216,2.6609,3.519672,1.688449,0.7879794,1.0
1.924723,0.8853788,1.27901,1.588023,5.8683,2.642354,0.7544017,1.0
1.93252,0.8647547,1.241504,1.52695,6.480063,2.631262,0.8551524,1.0
1.981747,1.272314,1.748547,1.997799,3.882727,1.732052,0.7396902,0.9920592
1.19244,0.4669209,0.6961727,0.820097,11.17013,4.821553,0.3930795,0.3099176
2.185995,1.809998,2.38138,2.75135,3.322634,1.420532,0.9687685,1.0
1.840681,1.624159,2.267576,2.72011,4.244997,1.710529,0.891426,1.0
1.055235,1.439983,2.50045,3.063429,1.937506,0.9058393,0.7271379,0.4276575
2.757215,1.381235,2.039001,2.394842,4.520555,1.969417,0.829359,0.5954861
1.941144,0.8639574,1.253151,1.565656,7.120888,2.679178,0.716406,1.0
1.720451,1.6273,2.311859,2.564953,2.694024,1.260671,0.9693459,1.0
1.667795,1.994051,2.840422,3.251215,3.189824,1.28802,0.877552,1.0
1.703119,1.45973,2.251522,2.680042,2.692739,1.169529,0.9998277,1.0
1.475863,0.8006248,1.217779,1.4825,6.844826,3.269297,0.4197111,0.4224187
1.099972,0.480402,0.7404308,0.8493748,9.292824,4.465521,0.6944029,0.0
0.9105244,1.603491,2.354034,2.675905,5.572094,1.844695,0.5255494,0.9995277
2.241503,1.259127,1.766127,2.167112,4.856528,1.976286,0.3825084,1.0
1.753777,1.00399,1.451246,1.769234,4.517003,1.945533,0.3467448,0.5209159
1.775139,0.7854242,1.161184,1.446512,4.994309,2.145404,0.3709521,1.0
1.349867,1.666279,2.230061,2.58152,2.181849,1.042104,0.6473413,1.0
2.651529,1.495716,2.031147,2.423168,3.715067,1.571527,0.6856246,1.0
2.097828,1.278769,1.787628,2.086626,4.347185,1.919917,0.5240226,0.5214921
2.207535,1.458462,1.961445,2.31563,11.14403,2.999073,0.907755,1.0
1.293233,0.6311693,0.9488573,1.236876,9.155226,4.161094,0.6160702,0.8046145
4.091337,1.659468,2.238611,2.52379,6.783031,2.46774,0.8702606,1.0
1.759102,1.372097,1.860338,2.182741,5.599546,2.138981,0.7588152,1.0
1.548225,1.69453,2.25721,2.568348,3.621296,1.493905,0.8513309,1.0
2.180563,1.016434,1.427525,1.754326,4.630052,1.987346,0.8670556,1.0
1.433943,0.6464996,0.9298115,1.104326,3.50391,1.358522,0.7861198,1.0
2.118412,1.407547,1.952915,2.290697,3.417604,1.519364,0.875329,1.0
1.290903,0.8930416,1.184452,1.83696,1.348317,0.6716784,0.9999165,0.6877678
1.854567,1.038561,1.469841,1.790836,3.578589,1.582684,0.8359882,1.0
1.77483,0.7395287,1.094233,1.347696,6.002657,2.348874,0.7769368,1.0
1.49749,0.7460938,1.12483,1.405898,4.552647,2.089849,0.3669191,0.3499669
1.596878,1.180794,1.691053,1.972057,5.090502,2.402165,0.5499149,0.07660373
1.913132,0.9753113,1.387676,1.702259,3.463994,1.492413,0.8379134,1.0
0.953783,0.5837116,0.9229298,1.128653,2.949762,1.400204,0.8918034,0.4560984
1.468027,0.7248802,1.088713,1.305523,7.055768,3.781647,0.68893,0.009462908
1.165873,0.4832439,0.9803658,1.016779,1.552689,0.7205536,0.6608322,1.0
1.829649,1.654737,2.456633,2.686256,4.330694,1.731167,0.7512105,1.0
0.6347675,0.3042679,0.6473846,0.5985756,2.062032,0.9638025,0.7316943,0.7563788
1.231073,0.5382671,0.8612309,1.047206,10.24983,5.215602,0.7500352,0.05035099
4.441767,1.613533,2.193468,2.515915,2.943477,1.357962,0.7548266,1.0
1.828272,1.364521,2.166351,2.775927,3.218966,1.532537,0.618078,0.7663071
1.934374,0.9167824,1.31671,1.637394,3.411552,1.498097,0.730159,1.0
1.258371,0.523304,0.8458519,1.030003,5.413421,2.64308,0.5473981,0.1600791
1.08807,0.3060951,0.5263824,0.5699577,6.479858,3.208609,0.8500292,0.03667676
2.022285,0.9312763,1.342524,1.668432,6.639643,2.914902,0.9223922,1.0
2.081757,0.9927635,1.45619,1.793121,4.330772,2.049498,0.4135105,1.0
1.918554,0.925457,1.321721,1.655733,4.886627,2.131887,0.6450555,1.0
1.988358,0.9339542,1.338663,1.685398,2.837154,1.257954,0.2593045,0.9462911
2.028507,0.9134121,1.350031,1.712168,3.062104,1.35263,0.6481065,1.0
1.374157,0.8450565,1.307178,1.560884,4.549156,2.194998,0.5490784,1.0
1.722254,0.8489037,1.211143,1.513121,3.098017,1.376677,0.6336818,1.0
1.822241,0.8794937,1.253172,1.550591,3.300159,1.504513,0.9576107,1.0
2.593832,1.697798,2.297518,2.604103,4.019274,1.698861,0.8155412,1.0
1.111504,1.537863,2.399265,2.808735,3.038346,1.471923,0.8143728,1.0
1.826601,1.743074,2.673569,3.141272,5.812185,2.53644,0.9012152,1.0
1.187733,0.4909954,0.8210373,0.9739361,4.338213,2.020097,0.561605,0.0
1.865532,0.8301105,1.225051,1.510866,7.486417,3.149908,0.933851,1.0
1.966785,1.066092,1.50845,1.806492,3.034328,1.352997,0.2295118,0.6605775
1.400909,1.70747,2.56229,2.926025,3.862948,1.45721,0.4901872,0.6537273
1.196991,0.4365444,0.7089615,0.8056927,9.539205,3.921949,0.6568708,0.1320741
3.558632,1.718906,2.422583,2.852791,2.935187,1.664765,0.5750176,0.8693485
1.780115,1.306822,1.856737,2.240158,4.032967,1.737799,0.9316596,1.0
1.872601,0.8967762,1.291322,1.58222,5.211337,2.142055,0.3695769,0.8595601
1.872459,0.8770847,1.274391,1.592951,2.993634,1.368959,0.3836387,0.9914287
2.052656,1.625221,2.274719,2.660206,3.306358,1.37748,0.4598288,1.0
4.168058,1.733364,2.490255,2.908953,3.224756,1.321298,0.8572264,1.0
2.398275,1.487015,2.257013,2.763706,2.531695,1.101165,0.6352099,0.7975202
0.8707485,0.2346096,0.4636993,0.4656887,5.778478,2.764905,0.7137814,0.1085457
1.085041,0.5509586,0.8960266,1.115637,4.435007,2.024765,0.6139274,0.3929476
1.539843,0.857132,1.337732,1.703154,5.186132,2.392188,0.3466606,0.4221
2.670702,1.492012,2.022003,2.387222,3.436196,1.554657,0.7199173,0.9830466
2.751209,1.652718,2.426846,2.872433,2.825326,1.376851,0.6093359,1.0
1.088928,0.5753918,0.9169712,1.103043,4.809719,2.221573,0.6312109,0.0
2.018257,0.9728508,1.362303,1.717665,3.924041,1.74814,0.8849787,1.0
1.305906,0.6916351,1.119015,1.366819,3.189865,1.44439,0.6786411,0.700265
1.887545,0.8771954,1.272947,1.548393,3.202749,1.428638,0.511999,0.9918994
1.271788,0.8374043,1.276747,1.551474,3.982618,1.922284,0.7035235,0.3691341
2.026472,0.9170933,1.330618,1.631407,5.374506,2.187737,0.8107338,0.9838825
2.441608,1.538773,2.075975,2.424837,4.160291,1.763463,0.7562377,1.0
1.192291,0.4192753,0.6806545,0.7683372,6.254123,3.18817,0.8281415,0.1209111
3.824984,1.606014,2.239201,2.59944,4.53886,1.748735,0.9266106,1.0
3.009552,1.624214,2.306768,2.737318,5.659141,2.385808,0.6994818,1.0
2.175375,1.54344,2.143068,2.510405,2.307245,1.121627,0.6407067,1.0
2.235546,1.605579,2.18293,2.49964,3.627566,1.589017,0.8063496,1.0
1.814331,1.463415,2.01511,2.266783,5.41489,2.278328,0.8242899,1.0
1.808943,0.7929134,1.167722,1.460107,5.057522,2.183697,0.6133912,0.9208681
0.9942131,1.835459,2.770252,3.324572,2.946262,1.344621,0.6321166,1.0
1.843733,0.9338017,1.43594,1.850048,5.255137,2.058831,0.1798403,0.6424095
1.021727,0.5712738,0.9719238,1.108856,2.842813,1.369387,0.8115019,0.1744571
5.928801,1.747503,2.354576,2.672649,4.552056,1.876309,0.9142683,1.0
2.683357,1.71913,2.557016,2.777979,2.32153,1.109657,0.6667647,1.0
1.918781,1.545622,2.318668,2.632151,2.84609,1.527215,0.8331653,0.904919
4.977631,1.614326,2.443802,2.906031,3.657379,1.688126,0.74691,1.0
1.626385,1.500067,2.086105,2.422554,3.463781,1.569694,0.8307148,1.0
3.023245,1.694189,2.330376,2.764675,3.006346,1.323201,0.6781026,0.8898444
1.74477,1.611435,2.395672,2.71163,1.7736,0.8328909,0.5623765,0.6341403
2.037043,1.692801,2.368074,2.777031,3.349862,1.596529,0.6532028,0.7890133
3.761892,1.780378,2.717777,3.106903,4.014675,1.512776,0.7367581,1.0
1.787249,0.9295616,1.375793,1.732576,3.379093,1.488417,0.7351694,0.9866894
1.844286,0.8726482,1.237787,1.540274,2.142218,1.010847,0.3443625,1.0
1.947142,0.8942451,1.324162,1.61834,2.646081,1.19783,0.4433357,0.9066399
1.85623,0.8189201,1.221318,1.527878,2.883985,1.290214,0.4454327,0.9519872
1.815939,0.9015713,1.289881,1.587349,2.489351,1.162421,0.5918375,0.8803978
1.449387,0.9745445,1.448912,1.758024,5.142515,2.243337,0.2950669,0.3717508
4.485594,1.531099,2.442701,3.009077,3.675169,1.777214,0.817233,0.7697865
2.957598,1.591089,2.427755,2.710966,3.455256,1.523783,0.7702929,0.9762562
1.543367,0.7989006,1.163982,1.41279,3.122615,1.371558,0.7034364,1.0
1.725481,0.7955952,1.201195,1.430757,7.725811,3.436842,0.7968342,0.6896985
2.945925,1.409067,1.965235,2.26683,4.392786,2.132574,0.8997445,0.5557995
2.839632,1.607449,2.552452,3.050379,3.453168,1.421791,0.7356679,0.9712268
0.7593346,1.727964,2.555235,3.124281,4.137463,1.956595,0.7422664,0.9607078
1.13933,0.5526314,0.9119339,1.076403,6.544248,2.890882,0.5313335,1.0
2.240229,1.71464,2.294977,2.675407,3.058448,1.295085,0.8354776,1.0
1.735828,1.781376,2.708273,3.226851,5.25659,2.134348,0.8330114,1.0
1.853378,0.8139458,1.180164,1.46954,7.519541,3.235296,0.4324941,0.9564822
1.905254,0.9490089,1.356693,1.672245,3.807914,1.738482,0.6088233,1.0
1.757626,0.9171505,1.303669,1.600805,3.441816,1.532208,0.6892583,1.0
1.89547,0.9954443,1.405857,1.742567,12.51311,4.728799,0.8395112,1.0
1.822655,0.9836369,1.41013,1.733009,4.13025,1.754303,0.2940288,1.0
1.859629,1.413322,2.006258,2.310352,4.384696,2.035131,0.7430158,1.0
1.023773,1.693926,2.461481,2.850403,2.022151,0.9247607,0.6765351,0.8924162
1.882141,0.9506359,1.376333,1.707361,3.260733,1.383535,0.8519065,1.0
1.916759,0.946928,1.365732,1.631037,4.449718,1.917669,0.6485296,1.0
1.898581,0.9423752,1.327501,1.65242,3.487012,1.546223,0.739043,1.0
1.928513,0.9265347,1.329977,1.625374,2.850455,1.185593,0.4184244,0.9962416
1.174877,0.6781216,1.078121,1.268522,3.421069,1.426067,0.7149541,1.0
1.748522,1.417513,1.96076,2.370594,3.839947,1.599826,0.5314264,1.0
0.9391003,1.636169,2.268988,2.500916,6.510359,2.179545,0.4206898,0.9341141
1.82225,0.8688469,1.272276,1.55582,4.669634,2.060184,0.783279,1.0
1.941807,0.8881073,1.294402,1.610947,9.221745,2.971786,0.6875704,1.0
1.474255,1.698553,2.321384,2.737867,2.904917,1.267231,0.5896641,0.9325864
1.871796,1.339231,1.853565,2.209711,3.379074,1.480618,0.6072389,0.8113039
3.736277,1.674578,2.254219,2.584692,3.549248,1.467386,0.660448,1.0
3.311117,1.740242,2.811584,3.296961,2.908694,1.239619,0.8655332,0.9864818
1.991879,0.8818817,1.286083,1.606709,3.106678,1.461608,0.4739443,0.784058
1.396339,0.8189831,1.208805,1.495922,4.283265,2.189131,0.5519581,0.0
1.480421,0.6293259,0.9515972,1.130631,10.5686,4.928521,0.8531846,0.0
1.168755,0.5728436,0.8396435,1.083063,4.151315,2.094924,0.779757,0.0
0.9090843,0.6063728,0.9176426,1.090332,5.005933,2.416195,0.8185542,0.0
1.942379,1.434547,1.959854,2.31587,5.901339,2.363874,0.8781646,1.0
0.7861919,0.2588921,0.3289986,0.4199352,4.961149,2.332968,0.5127281,0.1254519
1.663109,0.7839775,1.171687,1.448653,7.655028,3.424634,0.5993429,0.8402984
1.685404,1.587507,2.211597,2.572403,3.107279,1.672845,0.4376291,0.7013363
4.26499,1.64006,2.597418,3.044823,4.121994,1.859155,0.8009423,1.0
1.817217,0.665741,1.063221,1.366108,4.824797,2.197037,0.2402842,0.0
1.331274,0.7952499,1.267296,1.572397,5.227667,2.076503,0.3921062,0.9853055
1.80582,1.125986,1.562933,1.85565,4.128748,1.930142,0.6806407,1.0
